,0
0,Hawaii
1,Nevada
2,Rhode Island
3,Tennessee
4,South Carolina
5,Utah
6,Pennsylvania
7,Florida
8,Minnesota
9,Connecticut
10,Wyoming
11,New Hampshire
12,Virginia
13,Oklahoma
14,Idaho
15,Oregon
16,Massachusetts
17,Wisconsin
18,Colorado
19,Arkansas
20,Indiana
21,Louisiana
22,West Virginia
23,Maryland
24,Alabama
25,Iowa
26,Georgia
27,Missouri
28,Montana
29,Illinois
30,South Dakota
31,Mississippi
32,North Carolina
33,Alaska
34,Maine
35,Kansas
36,Michigan
37,Vermont
38,Delaware
39,North Dakota
40,Arizona
41,Washington
42,Nebraska
